commit_hash,package_name,raw_fetcher_count,direct_fetcher_count,fetcher_types,nixpkgs_target_bump
beceaec1c1046bfdcf215dbaada17d5ec9183e02,icesprog,1,1,fetchFromGitHub,63bdb5d90fa2fa11c42f9716ad1e23565613b07c
2f6877f8ea8d9a81978ec5509f234adb00995204,prometheus-qbittorrent-exporter,1,1,fetchFromGitHub,2dad7af78a183b6c486702c18af8a9544f298377
65e83db1d8cdad1b711805e89790d6475432d780,uhashring,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
fe1ba330ead05a62a8758af0604b0fb4cfd7b7cb,frozen-containers,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
5a4698d5c7875f9afcfc0ee6627ef96142f2e0f5,prometheus-tailscale-exporter,1,1,fetchFromGitHub,34761aab73dd38c9b61f92838c9055a96e46593c
e48e6e0d6af4d3fc61afcd611754c61699f330ac,pyopen-wakeword,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
fb143d900a59d0b229eba54acf57bf8134971ee5,utitools,1,1,fetchFromGitHub,ca77296380960cd497a765102eeb1356eb80fed0
94d2bea2af56f82675d243e4313fe8cbd3f6ae6a,tocaia,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
9db770b448880aef731adfe9d42b337eaa39fc72,gocheat,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
66375ddb4f9638de1b3b2ef272306cd3ef1616ea,hatch-sphinx,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
85753a26c56db7025b66db2a8058b305a15e7943,columnize,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
c981be7e0c7586d44c6f6e48fd0228227c1a11be,farith,1,1,fetchFromGitLab,3cbe716e2346710d6e1f7c559363d14e11c32a43
83cec4293d4a34e77cb254c8f1fd5ca389b65675,mio,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
c22b76d760241df91b720207478f11e5739b3c4d,ubase,1,1,fetchFromGitHub,c12c63cd6c5eb34c7b4c3076c6a99e00fcab86ec
0c594d355cba053efc1323814a373d59457f0ff0,legendsbrowser2,1,1,fetchFromGitHub,3cbe716e2346710d6e1f7c559363d14e11c32a43
